Date = 28.11.2018 0:00:00 	Squat = 0 	Press = 82,316 	Lift = 0 	Weight = 73 	Tonnage = 4200 	Another:                                                                           Другое упражнение №1: Жим лёжа ; 1 подходов по 20 повторений с весом 20 + 1 подходов по 12 повторений с весом 50 + 5 подходов по 8 повторений с весом 65 + 1 подходов по 10 повторений с весом 60 Другое упражнение №2: Упражнение на пресс ; 1 подходов по 15 повторений с весом 0 + 2 подходов по 20 повторений с весом 0 + 3 подходов по 15 повторений с весом 0 
Date = 03.12.2018 0:00:00 	Squat = 0 	Press = 0 	Lift = 0 	Weight = 73 	Tonnage = 4250 	Another:                                                                          Другое упражнение №1: Фронтальный присед ; 1 подходов по 20 повторений с весом 20 + 1 подходов по 15 повторений с весом 50 + 5 подходов по 8 повторений с весом 65 + 1 подходов по 10 повторений с весом 50 Другое упражнение №2: Упражнение на пресс ; 2 подходов по 15 повторений с весом 0 + 1 подходов по 20 повторений с весом 0 + 2 подходов по 15 повторений с весом 0 
Date = 05.12.2018 0:00:00 	Squat = 0 	Press = 88,648 	Lift = 0 	Weight = 73 	Tonnage = 4700 	Another:                                                                         Другое упражнение №1:  ; 1 подходов по 20 повторений с весом 20 + 1 подходов по 15 повторений с весом 50 + 5 подходов по 8 повторений с весом 70 + 1 подходов по 15 повторений с весом 50 
Date = 07.12.2018 0:00:00 	Squat = 0 	Press = 0 	Lift = 126,64 	Weight = 73 	Tonnage = 6430 	Another:                                                                        Другое упражнение №1: Становая тяга классикой ; 1 подходов по 15 повторений с весом 50 + 1 подходов по 12 повторений с весом 70 + 5 подходов по 8 повторений с весом 100 + 1 подходов по 12 повторений с весом 70 
Date = 10.12.2018 0:00:00 	Squat = 0 	Press = 0 	Lift = 0 	Weight = 73 	Tonnage = 4960 	Another:                                                                       Другое упражнение №1: Фронтальный присед ; 1 подходов по 20 повторений с весом 20 + 1 подходов по 12 повторений с весом 50 + 6 подходов по 8 повторений с весом 70 + 1 подходов по 12 повторений с весом 50 Другое упражнение №2: Упражнение на пресс ; 1 подходов по 15 повторений с весом 0 + 3 подходов по 20 повторений с весом 0 + 1 подходов по 15 повторений с весом 0 
Date = 12.12.2018 0:00:00 	Squat = 0 	Press = 94,98 	Lift = 0 	Weight = 73 	Tonnage = 5500 	Another:                                                                      Другое упражнение №1: Жим лёжа ; 1 подходов по 20 повторений с весом 20 + 1 подходов по 15 повторений с весом 40 + 1 подходов по 10 повторений с весом 60 + 5 подходов по 8 повторений с весом 75 + 1 подходов по 15 повторений с весом 60 
Date = 14.12.2018 0:00:00 	Squat = 0 	Press = 0 	Lift = 132,972 	Weight = 73 	Tonnage = 6870 	Another:                                                                     Другое упражнение №1: Становая тяга классикой ; 1 подходов по 15 повторений с весом 50 + 1 подходов по 12 повторений с весом 80 + 5 подходов по 8 повторений с весом 105 + 1 подходов по 12 повторений с весом 80 
Date = 17.12.2018 23:04:23 	Squat = 0 	Press = 0 	Lift = 0 	Weight = 73 	Tonnage = 5200 	Another:                                                                    Другое упражнение №1: Фронтальный присед ; 1 подходов по 20 повторений с весом 20 + 1 подходов по 15 повторений с весом 40 + 1 подходов по 10 повторений с весом 60 + 5 подходов по 8 повторений с весом 75 + 1 подходов по 10 повторений с весом 60 
Date = 19.12.2018 0:00:00 	Squat = 0 	Press = 103 	Lift = 0 	Weight = 73 	Tonnage = 5700 	Another:                                                                   Другое упражнение №1: Жим лёжа ; 1 подходов по 20 повторений с весом 20 + 1 подходов по 15 повторений с весом 40 + 1 подходов по 10 повторений с весом 60 + 5 подходов по 8 повторений с весом 80 + 1 подходов по 15 повторений с весом 60 
Date = 21.12.2018 0:00:00 	Squat = 0 	Press = 0 	Lift = 139,304 	Weight = 73 	Tonnage = 7790 	Another:                                                                  Другое упражнение №1: Становая тяга классикой ; 1 подходов по 15 повторений с весом 50 + 1 подходов по 12 повторений с весом 70 + 1 подходов по 10 повторений с весом 90 + 5 подходов по 8 повторений с весом 110 + 1 подходов по 10 повторений с весом 90 Другое упражнение №2: Упражнение на пресс ; 1 подходов по 15 повторений с весом 0 + 4 подходов по 20 повторений с весом 0 + 1 подходов по 15 повторений с весом 0 
Date = 24.12.2018 0:00:00 	Squat = 0 	Press = 0 	Lift = 0 	Weight = 73 	Tonnage = 5200 	Another:                                                                 Другое упражнение №1: Фронтальный присед ; 1 подходов по 20 повторений с весом 20 + 1 подходов по 15 повторений с весом 40 + 1 подходов по 10 повторений с весом 60 + 5 подходов по 8 повторений с весом 75 + 1 подходов по 10 повторений с весом 60 
